[2026-01-09 11:12:18,648] 22 root - INFO - Initiate the data ingestion
[2026-01-09 11:12:22,863] 83 root - INFO - Performed train test split on the dataframe
[2026-01-09 11:12:22,863] 85 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-09 11:12:22,863] 91 root - INFO - Exporting train and test file path
[2026-01-09 11:12:22,907] 96 root - INFO - Exported train and test file path.
[2026-01-09 11:12:22,907] 24 root - INFO - Data Initiate Completed
[2026-01-09 11:12:22,911] 16 root - INFO - yaml file: data_schema/schema.yaml loaded successfully
[2026-01-09 11:12:22,912] 30 root - INFO - Initiate the data validation
[2026-01-09 11:12:22,926] 60 root - INFO - Required number of columns: 2
[2026-01-09 11:12:22,926] 61 root - INFO - Data Frame len columns: 31
[2026-01-09 11:12:22,926] 133 root - ERROR - Train dataframe does not contain all columns.

[2026-01-09 11:12:22,926] 60 root - INFO - Required number of columns: 2
[2026-01-09 11:12:22,926] 61 root - INFO - Data Frame len columns: 31
[2026-01-09 11:12:22,926] 138 root - ERROR - Test dataframe does not contain all columns.

[2026-01-09 11:12:23,092] 173 root - INFO - Data validation passed. Data saved to valid directory.
[2026-01-09 11:12:23,092] 196 root - INFO - Data validation artifact: DataValidationArtifact(validation_status=True, valid_train_file_path='Artifacts/data_validation/validated/train.csv', valid_test_file_path='Artifacts/data_validation/validated/test.csv', invalid_train_file_path='Artifacts/data_validation/invalid/train.csv', invalid_test_file_path='Artifacts/data_validation/invalid/test.csv', drift_report_file_path='Artifacts/data_validation/drift_report/report.yaml')
[2026-01-09 11:12:23,092] 32 root - INFO - Data Validation Completed
[2026-01-09 11:12:23,092] 38 root - INFO - Initiate the data transfomation
[2026-01-09 11:12:23,092] 58 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-01-09 11:12:23,092] 62 root - INFO - Starting data transformation
[2026-01-09 11:12:23,107] 43 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-01-09 11:12:23,107] 48 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-09 11:12:23,114] 48 root - INFO - Entered the save_object method of MainUtils class
[2026-01-09 11:12:23,116] 52 root - INFO - Exited the save_object method of MainUtils class
[2026-01-09 11:12:23,116] 40 root - INFO - Data Transformation Completed
